"ident","type","name","elevation_ft","continent","iso_country","iso_region","municipality","gps_code","iata_code","local_code","long","lat"
"ENRO","medium_airport","RÃ¸ros Airport",2054,"EU","NO","NO-16","RÃ¸ros","ENRO","RRS","","11.342300415039","62.578399658203"
"ENRY","medium_airport","Moss Airport, Rygge",174,"EU","NO","NO-01","Oslo","ENRY","RYG","","10.785439","59.378817"
"ENSB","medium_airport","Svalbard Airport, Longyear",88,"EU","NO","NO-21","Longyearbyen","ENSB","LYR","","15.465600013733","78.246101379395"
"ENSH","medium_airport","SvolvÃ¦r Helle Airport",27,"EU","NO","NO-18","SvolvÃ¦r","ENSH","SVJ","","14.669199943542","68.243301391602"
"ENSK","medium_airport","Stokmarknes Skagen Airport",11,"EU","NO","NO-18","Hadsel","ENSK","SKN","","15.033416748047","68.578826904297"
"ENSN","medium_airport","Skien Airport",463,"EU","NO","NO-08","Geiteryggen","ENSN","SKE","","9.566940307617188","59.185001373291016"
"ENSO","medium_airport","Stord Airport",160,"EU","NO","NO-12","Leirvik","ENSO","SRP","","5.340849876403809","59.791900634765625"
"ENSR","medium_airport","SÃ¸rkjosen Airport",16,"EU","NO","NO-19","SÃ¸rkjosen","ENSR","SOJ","","20.959400177002","69.786796569824"
"ENSS","medium_airport","VardÃ¸ Airport, Svartnes",42,"EU","NO","NO-20","VardÃ¸","ENSS","VAW","","31.044900894165","70.355400085449"
"ENST","medium_airport","SandnessjÃ¸en Airport (Stokka)",56,"EU","NO","NO-18","Alstahaug","ENST","SSJ","","12.468899726868","65.956802368164"
"ENTC","large_airport","TromsÃ¸ Airport",31,"EU","NO","NO-19","TromsÃ¸","ENTC","TOS","","18.918899536132812","69.68329620361328"
"ENTO","medium_airport","Sandefjord Airport, Torp",286,"EU","NO","NO-07","Torp","ENTO","TRF","","10.258600235","59.1866989136"
"ENVA","large_airport","Trondheim Airport VÃ¦rnes",56,"EU","NO","NO-17","Trondheim","ENVA","TRD","","10.9239998","63.4578018"
"ENVD","medium_airport","VadsÃ¸ Airport",127,"EU","NO","NO-20","VadsÃ¸","ENVD","VDS","","29.844699859619","70.065299987793"
"ENZV","large_airport","Stavanger Airport Sola",29,"EU","NO","NO-11","Stavanger","ENZV","SVG","","5.6377801895","58.876701354"
"EPBP","medium_airport","BiaÅa Podlaska Airfield",485,"EU","PL","PL-LU","BiaÅa Podlaska","EPBP","BXP","","23.1325278","52.00078"
"EPBY","medium_airport","Bydgoszcz Ignacy Jan Paderewski Airport",235,"EU","PL","PL-KP","Bydgoszcz","EPBY","BZG","","17.9776992798","53.096801757799994"
"EPCE","medium_airport","Cewice Air Base",495,"EU","PL","PL-PM","LÄbork","EPCE","","","17.7633","54.416"
"EPDE","medium_airport","Deblin Military Air Base",392,"EU","PL","PL-LU","DÄblin","EPDE","","","21.8936004639","51.551399231"
"EPGD","large_airport","GdaÅsk Lech WaÅÄsa Airport",489,"EU","PL","PL-PM","GdaÅsk","EPGD","GDN","","18.46619987487793","54.377601623535156"
"EPIR","medium_airport","Inowroclaw Military Air Base",259,"EU","PL","PL-KP","","EPIR","","","18.3306007385","52.8293991089"
"EPKK","large_airport","KrakÃ³w John Paul II International Airport",791,"EU","PL","PL-MA","KrakÃ³w","EPKK","KRK","","19.7848","50.077702"
"EPKS","medium_airport","Krzesiny Military Air Base",265,"EU","PL","PL-WP","","EPKS","","","16.9664001465","52.3316993713"
"EPKT","large_airport","Katowice International Airport",995,"EU","PL","PL-SL","Katowice","EPKT","KTW","","19.08","50.4743"
"EPLK","medium_airport","Lask Military Air Base",633,"EU","PL","PL-LD","","EPLK","","","19.179100036599998","51.551700592"
"EPLL","medium_airport","ÅÃ³dÅº WÅadysÅaw Reymont Airport",604,"EU","PL","PL-LD","ÅÃ³dÅº","EPLL","LCJ","","19.3980998993","51.721900939899996"
"EPLY","medium_airport","Leczyca Military Air Base",377,"EU","PL","PL-LD","Leczyca","EPLY","","","19.1455993652","52.004699707"
"EPMB","medium_airport","Malbork Military Air Base",16,"EU","PL","PL-PM","","EPMB","","","19.134199142499998","54.0269012451"
"EPMI","medium_airport","Miroslawiec Military Air Base",459,"EU","PL","PL-ZP","MirosÅawiec","EPMI","","","16.0827999115","53.395099639899996"
"EPMM","medium_airport","Minsk Mazowiecki Military Air Base",604,"EU","PL","PL-MZ","","EPMM","","","21.6558990479","52.1954994202"
"EPMO","large_airport","Modlin Airport",341,"EU","PL","PL-MZ","Warsaw","EPMO","WMI","","20.6518","52.451099"
"EPOK","medium_airport","Oksywie Military Air Base",144,"EU","PL","PL-PM","Gdynia","EPOK","QYD","","18.51720047","54.57970047"
"EPPO","large_airport","PoznaÅ-Åawica Airport",308,"EU","PL","PL-WP","PoznaÅ","EPPO","POZ","","16.8262996674","52.421001434299995"
"EPPW","medium_airport","Powidz Military Air Base",371,"EU","PL","PL-WP","","EPPW","","","17.853901","52.379398"
"EPRA","medium_airport","Radom Airport",610,"EU","PL","PL-MZ","Radom","EPRA","RDO","","21.213300705","51.3891983032"
"EPRZ","medium_airport","RzeszÃ³w-Jasionka Airport",693,"EU","PL","PL-PK","RzeszÃ³w","EPRZ","RZE","","22.018999","50.110001"
"EPSC","medium_airport","Szczecin-GoleniÃ³w ""SolidarnoÅÄ"" Airport",154,"EU","PL","PL-ZP","Goleniow","EPSC","SZZ","","14.902199745199999","53.584701538100006"
"EPSN","medium_airport","Swidwin Military Air Base",385,"EU","PL","PL-ZP","","EPSN","","","15.826299667399999","53.790599823"
"EPSY","medium_airport","Olsztyn-Mazury Airport",463,"EU","PL","PL-WN","Olsztyn","EPSY","SZY","","20.9377","53.481899"
"EPTM","medium_airport","Tomaszow Mazowiecki Military Air Base",571,"EU","PL","PL-LD","TomaszÃ³w Mazowiecki","EPTM","","","20.0977993011","51.584400177"
"EPWA","large_airport","Warsaw Chopin Airport",362,"EU","PL","PL-MZ","Warsaw","EPWA","WAW","","20.967100143399996","52.1656990051"
"EPWR","large_airport","Copernicus WrocÅaw Airport",404,"EU","PL","PL-DS","WrocÅaw","EPWR","WRO","","16.885799408","51.1026992798"
"EPZG","medium_airport","Zielona GÃ³ra-Babimost Airport",194,"EU","PL","PL-LB","Babimost","EPZG","IEG","","15.7986001968","52.138500213600004"
"ESCF","medium_airport","Malmen Air Base",308,"EU","SE","SE-E","LinkÃ¶ping","ESCF","","","15.525699615478516","58.40230178833008"
"ESDF","medium_airport","Ronneby Airport",191,"EU","SE","SE-K","","ESDF","RNB","","15.265000343323","56.266700744629"
"ESFR","medium_airport","RÃ¥da Air Base",230,"EU","SE","SE-Q","RÃ¥da","ESFR","","","13.053199768066406","58.49810028076172"
"ESGG","large_airport","Gothenburg-Landvetter Airport",506,"EU","SE","SE-Q","Gothenburg","ESGG","GOT","","12.279800415039","57.662799835205"
"ESGJ","medium_airport","JÃ¶nkÃ¶ping Airport",741,"EU","SE","SE-F","JÃ¶nkÃ¶ping","ESGJ","JKG","","14.068699836730957","57.757598876953125"
"ESGP","medium_airport","Gothenburg City Airport",59,"EU","SE","SE-Q","Gothenburg","ESGP","GSE","","11.8704","57.7747"
"ESGR","medium_airport","SkÃ¶vde Airport",324,"EU","SE","SE-Q","SkÃ¶vde","ESGR","KVB","","13.972700119018555","58.45640182495117"
"ESGT","medium_airport","TrollhÃ¤ttan-VÃ¤nersborg Airport",137,"EU","SE","SE-Q","TrollhÃ¤ttan","ESGT","THN","","12.345000267028809","58.31809997558594"
"ESIB","medium_airport","SÃ¥tenÃ¤s Air Base",181,"EU","SE","SE-Q","SÃ¥tenÃ¤s","ESIB","","","12.714400291442871","58.42639923095703"
"ESKK","medium_airport","Karlskoga Airport",400,"EU","SE","SE-T","","ESKK","KSK","","14.49590015411377","59.34590148925781"
"ESKM","medium_airport","Mora Airport",634,"EU","SE","SE-W","Mora","ESKM","MXX","","14.5114","60.957901"
"ESKN","medium_airport","Stockholm Skavsta Airport",140,"EU","SE","SE-D","Stockholm / NykÃ¶ping","ESKN","NYO","","16.912200927734375","58.78860092163086"
"ESKX","medium_airport","BjÃ¶rkvik Air Base",,"EU","SE","SE-D","BjÃ¶rkvik","ESKX","","","16.571199417114258","58.79079818725586"
"ESMK","medium_airport","Kristianstad Airport",76,"EU","SE","SE-M","Kristianstad","ESMK","KID","","14.08549976348877","55.92169952392578"
"ESMQ","medium_airport","Kalmar Airport",17,"EU","SE","SE-H","","ESMQ","KLR","","16.287599563598633","56.68550109863281"
"ESMS","large_airport","MalmÃ¶ Sturup Airport",236,"EU","SE","SE-M","MalmÃ¶","ESMS","MMX","","13.376197814900001","55.536305364"
"ESMT","medium_airport","Halmstad Airport",101,"EU","SE","SE-N","Halmstad","ESMT","HAD","","12.820199966430664","56.69110107421875"
"ESMX","medium_airport","VÃ¤xjÃ¶ Kronoberg Airport",610,"EU","SE","SE-G","VÃ¤xjÃ¶","ESMX","VXO","","14.727999687194824","56.929100036621094"
"ESND","medium_airport","Sveg Airport",1178,"EU","SE","SE-Z","","ESND","EVG","","14.422900199890137","62.04779815673828"
"ESNG","medium_airport","GÃ¤llivare Airport",1027,"EU","SE","SE-BD","GÃ¤llivare","ESNG","GEV","","20.814599990844727","67.13240051269531"
"ESNK","medium_airport","Kramfors SollefteÃ¥ Airport",34,"EU","SE","SE-Y","Kramfors / SollefteÃ¥","ESNK","KRF","","17.76889991760254","63.04859924316406"
"ESNL","medium_airport","Lycksele Airport",705,"EU","SE","SE-AC","","ESNL","LYC","","18.71619987487793","64.54830169677734"
"ESNN","medium_airport","Sundsvall-HÃ¤rnÃ¶sand Airport",16,"EU","SE","SE-Y","Sundsvall/ HÃ¤rnÃ¶sand","ESNN","SDL","","17.443899154663086","62.528099060058594"
"ESNO","medium_airport","ÃrnskÃ¶ldsvik Airport",354,"EU","SE","SE-Y","ÃrnskÃ¶ldsvik","ESNO","OER","","18.989999771118164","63.40829849243164"
"ESNQ","medium_airport","Kiruna Airport",1508,"EU","SE","SE-BD","Kiruna","ESNQ","KRN","","20.336799621582","67.821998596191"
"ESNS","medium_airport","SkellefteÃ¥ Airport",157,"EU","SE","SE-AC","SkellefteÃ¥","ESNS","SFT","","21.076900482177734","64.62480163574219"
"ESNU","medium_airport","UmeÃ¥ Airport",24,"EU","SE","SE-AC","UmeÃ¥","ESNU","UME","","20.282800674438","63.791801452637"
"ESNV","medium_airport","Vilhelmina Airport",1140,"EU","SE","SE-AC","","ESNV","VHM","","16.833599090576172","64.5791015625"
"ESNX","medium_airport","Arvidsjaur Airport",1245,"EU","SE","SE-BD","Arvidsjaur","ESNX","AJR","","19.28190040588379","65.59030151367188"
"ESNY","medium_airport","SÃ¶derhamn Airport",88,"EU","SE","SE-X","SÃ¶derhamn","ESNY","SOO","","17.09910011291504","61.26150131225586"
"ESNZ","medium_airport","Ãre Ãstersund Airport",1233,"EU","SE","SE-Z","Ãstersund","ESNZ","OSD","","14.50030040741","63.194400787354"
"ESOE","medium_airport","Ãrebro Airport",188,"EU","SE","SE-T","Ãrebro","ESOE","ORB","","15.038000106811523","59.22370147705078"
"ESOH","medium_airport","Hagfors Airport",474,"EU","SE","SE-S","","ESOH","HFS","","13.578900337219238","60.02009963989258"
"ESOK","medium_airport","Karlstad Airport",352,"EU","SE","SE-S","Karlstad","ESOK","KSD","","13.337400436400001","59.444698333699996"
"ESOW","medium_airport","Stockholm VÃ¤sterÃ¥s Airport",21,"EU","SE","SE-U","Stockholm / VÃ¤sterÃ¥s","ESOW","VST","","16.63360023498535","59.58940124511719"
"ESPA","large_airport","LuleÃ¥ Airport",65,"EU","SE","SE-BD","LuleÃ¥","ESPA","LLA","","22.121999740601","65.543800354004"
"ESSA","large_airport","Stockholm-Arlanda Airport",137,"EU","SE","SE-AB","Stockholm","ESSA","ARN","","17.918600082397","59.651901245117"
"ESSB","medium_airport","Stockholm-Bromma Airport",47,"EU","SE","SE-AB","Stockholm","ESSB","BMA","","17.941699981689453","59.354400634765625"
"ESSD","medium_airport","Borlange Airport",503,"EU","SE","SE-W","","ESSD","BLE","","15.515199661254883","60.422000885009766"
"ESSK","medium_airport","GÃ¤vle Sandviken Airport",224,"EU","SE","SE-X","GÃ¤vle / Sandviken","ESSK","GVX","","16.951400756835938","60.593299865722656"
"ESSL","medium_airport","LinkÃ¶ping City Airport",172,"EU","SE","SE-E","LinkÃ¶ping","ESSL","LPI","","15.680500030500001","58.4062004089"
"ESSP","medium_airport","NorrkÃ¶ping Airport",32,"EU","SE","SE-E","NorrkÃ¶ping","ESSP","NRK","","16.250600814819336","58.586299896240234"
"ESST","medium_airport","Torsby Airport",393,"EU","SE","SE-S","","ESST","TYF","","12.991299629199998","60.1576004028"
"ESSU","medium_airport","Eskilstuna Airport",139,"EU","SE","SE-D","Eskilstuna","ESSU","EKT","","16.70840072631836","59.35110092163086"
"ESSV","medium_airport","Visby Airport",164,"EU","SE","SE-I","Visby","ESSV","VBY","","18.346200942993","57.662799835205"
"ESTA","medium_airport","Ãngelholm-Helsingborg Airport",68,"EU","SE","SE-M","Ãngelholm","ESTA","AGH","","12.847100257873535","56.29610061645508"
"ESTL","medium_airport","Ljungbyhed Airport",140,"EU","SE","SE-M","Ljungbyhed","ESTL","","","13.212499618530273","56.082801818847656"
"ESUD","medium_airport","Storuman Airport",915,"EU","SE","SE-AC","","ESUD","SQO","","17.69659996032715","64.96089935302734"
"ESUP","medium_airport","Pajala Airport",542,"EU","SE","SE-BD","","ESUP","PJA","","23.068899154663086","67.24559783935547"
"ESUT","medium_airport","Hemavan Airport",1503,"EU","SE","SE-AC","Hemavan","ESUT","HMV","","15.0828","65.806099"
"ETAD","medium_airport","Spangdahlem Air Base",1197,"EU","DE","DE-RP","Trier","ETAD","SPM","","6.69250011444","49.9726982117"
"ETAR","large_airport","Ramstein Air Base",776,"EU","DE","DE-RP","Ramstein","ETAR","RMS","","7.600279808044434","49.4369010925293"
"ETHB","medium_airport","BÃ¼ckeburg Air Base",230,"EU","DE","DE-NI","","ETHB","","","9.08217","52.2785"
"ETHC","medium_airport","Celle Army Airfield",129,"EU","DE","DE-NI","","ETHC","","","10.0221","52.591202"
"ETHF","medium_airport","Fritzlar Army Airfield",1345,"EU","DE","DE-HE","Fritzlar","ETHF","FRZ","","9.286","51.1146"
"ETHL","medium_airport","Laupheim Air Base",1766,"EU","DE","DE-BW","","ETHL","","","9.91002","48.220299"
"ETHM","medium_airport","Mendig Airfield",597,"EU","DE","DE-RP","","EDRE","","","7.31533","50.366001"
"ETHN","medium_airport","Niederstetten Army Air Base",1339,"EU","DE","DE-BW","Niederstetten","ETHN","","","9.958889","49.391945"
"ETHS","medium_airport","Fassberg Air Base",245,"EU","DE","DE-NI","","ETHS","","","10.185827","52.919399"
"ETIC","medium_airport","Grafenwohr Army Air Field",1363,"EU","DE","DE-BY","","ETIC","","","11.940199851989746","49.698699951171875"
"ETIH","medium_airport","Hohenfels Army Air Field",1455,"EU","DE","DE-BY","","ETIH","","","11.836099624633789","49.218101501464844"
"ETMN","medium_airport","Nordholz Naval Airbase",74,"EU","DE","DE-NI","Cuxhaven","ETMN","FCN","","8.658499717709999","53.7677001953"
"ETND","medium_airport","Diepholz Air Base",128,"EU","DE","DE-NI","Diepholz","ETND","","","8.342222","52.585556"
"ETNG","medium_airport","Geilenkirchen Air Base",296,"EU","DE","DE-NW","","ETNG","GKE","","6.04242","50.9608"
"ETNH","medium_airport","Hohn Air Base",39,"EU","DE","DE-SH","","ETNH","","","9.53817","54.312199"
"ETNL","medium_airport","Rostock-Laage Airport",138,"EU","DE","DE-MV","Rostock","ETNL","RLG","","12.278300285299999","53.9182014465"
"ETNN","medium_airport","NÃ¶rvenich Air Base",386,"EU","DE","DE-NW","","ETNN","","","6.65817","50.8312"
"ETNS","medium_airport","Schleswig Air Base",70,"EU","DE","DE-SH","Jagel","ETNS","WBG","","9.51633","54.459301"
"ETNT","medium_airport","Wittmundhafen Air Base",26,"EU","DE","DE-NI","","ETNT","","","7.66733","53.547798"
"ETNW","medium_airport","Wunstorf Air Base",187,"EU","DE","DE-NI","","ETNW","","","9.42717","52.457298"
"ETOU","medium_airport","Wiesbaden Army Airfield",461,"EU","DE","DE-HE","Wiesbaden","ETOU","WIE","","8.325400352478027","50.049800872802734"
"ETSB","medium_airport","BÃ¼chel Air Base",1568,"EU","DE","DE-RP","","ETSB","","","7.06333017349","50.1738014221"
"ETSH","medium_airport","Holzdorf Air Base",265,"EU","DE","DE-BR","","ETSH","","","13.1677","51.767799"
"ETSI","medium_airport","Ingolstadt Manching Airport",1202,"EU","DE","DE-BY","Manching","ETSI","IGS","","11.534000396728516","48.7156982421875"
"ETSL","medium_airport","Lechfeld Air Base",1822,"EU","DE","DE-BY","Lagerlechfeld","ETSL","","","10.8612","48.185504"
"ETSN","medium_airport","Neuburg AFB",1249,"EU","DE","DE-BY","Neuburg (Donau)","ETSN","","","11.2115","48.710999"
"EVDA","medium_airport","Daugavpils Intrenational Airport",398,"EU","LV","LV-DA","Daugavpils","EVDA","DGP","","26.6650009155","55.944721221900004"
"EVKA","medium_airport","JÄkabpils Air Base",289,"EU","LV","LV-JK","JÄkabpils","EVKA","","","25.8925","56.534698"
"EVLA","medium_airport","LiepÄja International Airport",16,"EU","LV","LV-LE","LiepÄja","EVLA","LPX","","21.096900939941406","56.51750183105469"
"EVRA","large_airport","Riga International Airport",36,"EU","LV","LV-RIX","Riga","EVRA","RIX","","23.971099853515625","56.92359924316406"
"EVTA","medium_airport","JÅ«rmala Airport",220,"EU","LV","LV-TU","Tukums","EVJA","","","23.2239","56.9422"
"EVVA","medium_airport","Ventspils International Airport",19,"EU","LV","LV-VEN","Ventspils","EVVA","VNT","","21.5442008972","57.35779953"
"EYKA","medium_airport","Kaunas International Airport",256,"EU","LT","LT-KU","Kaunas","EYKA","KUN","","24.084800720214844","54.96390151977539"
"EYKD","medium_airport","KÄdainiai Air Base",171,"EU","LT","LT-KU","KÄdainiai","EYKD","","","23.95639991760254","55.31169891357422"
"EYPA","medium_airport","Palanga International Airport",33,"EU","LT","LT-KL","Palanga","EYPA","PLQ","","21.093900680541992","55.973201751708984"
"EYPP","medium_airport","PanevÄÅ¾ys Air Base",197,"EU","LT","LT-PN","PanevÄÅ¾ys","EYPP","PNV","","24.460800170898438","55.729400634765625"
"EYSA","medium_airport","Å iauliai International Airport",443,"EU","LT","LT-SA","Å iauliai","EYSA","SQQ","","23.395000457763672","55.89390182495117"
"EYSB","medium_airport","Barysiai Airfield",270,"EU","LT","LT-SA","Å iauliai","EYSB","","","23.5581","56.070599"
"EYVI","large_airport","Vilnius International Airport",648,"EU","LT","LT-VL","Vilnius","EYVI","VNO","","25.285801","54.634102"
"FAAB","medium_airport","Alexander Bay Airport",98,"AF","ZA","ZA-NC","Alexander Bay","FAAB","ALJ","","16.5333","-28.575001"
"FAAG","medium_airport","Aggeneys Airport",2648,"AF","ZA","ZA-NC","Aggeneys","FAAG","AGZ","","18.813899993896484","-29.28179931640625"
"FABE","medium_airport","Bisho Airport",1950,"AF","ZA","ZA-EC","Bisho","FABE","BIY","","27.279100418099997","-32.8970985413"
"FABL","medium_airport","Bram Fischer International Airport",4457,"AF","ZA","ZA-FS","Bloemfontain","FABL","BFN","","26.302401","-29.092699"
"FABR","medium_airport","Barberton Airport",2250,"AF","ZA","ZA-MP","Umjindi (Barberton)","FABR","","ABR","30.97518","-25.716869"
"FACT","large_airport","Cape Town International Airport",151,"AF","ZA","ZA-WC","Cape Town","FACT","CPT","","18.6016998291","-33.9648017883"
"FAEL","medium_airport","Ben Schoeman Airport",435,"AF","ZA","ZA-EC","East London","FAEL","ELS","","27.825899124099998","-33.0355987549"
"FAEO","medium_airport","Ermelo Airport",5700,"AF","ZA","ZA-MP","Ermelo","FAEO","","","29.979799270629883","-26.4955997467041"
"FAFB","medium_airport","Ficksburg Sentraoes Airport",5315,"AF","ZA","ZA-FS","Ficksburg","FAFB","FCB","","27.908899307250977","-28.82309913635254"
"FAGC","medium_airport","Grand Central Airport",5325,"AF","ZA","ZA-GT","Midrand","FAGC","GCJ","","28.1401004791","-25.986299514799995"
"FAGG","large_airport","George Airport",648,"AF","ZA","ZA-WC","George","FAGG","GRJ","","22.378902","-34.0056"
"FAGM","medium_airport","Rand Airport",5483,"AF","ZA","ZA-GT","Johannesburg","FAGM","QRA","","28.1511993408","-26.2425003052"
"FAHR","medium_airport","Harrismith Airport",5585,"AF","ZA","ZA-FS","Harrismith","FAHR","HRS","","29.106199264526367","-28.23509979248047"
"FAKD","medium_airport","P C Pelser Airport",4444,"AF","ZA","ZA-NW","Klerksdorp","FAKD","KXE","","26.718000411987305","-26.8710994720459"
"FAKM","medium_airport","Kimberley Airport",3950,"AF","ZA","ZA-NC","Kimberley","FAKM","KIM","","24.7651996613","-28.802799224900003"
"FAKN","medium_airport","Kruger Mpumalanga International Airport",2829,"AF","ZA","ZA-MP","Mpumalanga","FAKN","MQP","","31.1056003571","-25.3831996918"
"FAKU","medium_airport","Johan Pienaar Airport",4382,"AF","ZA","ZA-NC","Kuruman","FAKU","KMH","","23.411399841308594","-27.45669937133789"
"FAKZ","medium_airport","Kleinsee Airport",270,"AF","ZA","ZA-NC","Kleinsee","FAKZ","KLZ","","17.093999862700002","-29.6884002686"
"FALA","medium_airport","Lanseria Airport",4517,"AF","ZA","ZA-GT","Johannesburg","FALA","HLA","","27.9260997772","-25.938499450699997"
"FALC","medium_airport","Lime Acres Finsch Mine Airport",4900,"AF","ZA","ZA-NC","Lime Acres","FALC","LMR","","23.43910026550293","-28.36009979248047"
"FALE","large_airport","King Shaka International Airport",295,"AF","ZA","ZA-NL","Durban","FALE","DUR","","31.1197222222","-29.6144444444"
"FALW","medium_airport","Langebaanweg Airport",108,"AF","ZA","ZA-WC","Langebaanweg","FALW","SDB","","18.1602993011","-32.968898773199996"
"FALY","medium_airport","Ladysmith Airport",3548,"AF","ZA","ZA-NL","Ladysmith","FALY","LAY","","29.749700546299998","-28.5816993713"
"FAMD","medium_airport","Malamala Airport",1124,"AF","ZA","ZA-NP","Malamala","FAMD","AAM","","31.544599533081055","-24.818099975585938"
"FAMG","medium_airport","Margate Airport",495,"AF","ZA","ZA-NL","Margate","FAMG","MGH","","30.343000412","-30.8574008942"
"FAMM","medium_airport","Mmabatho International Airport",4181,"AF","ZA","ZA-NW","Mafeking","FAMM","MBD","","25.548000335699996","-25.798400878900004"
"FAMN","medium_airport","Riverside Airport",1024,"AF","ZA","ZA-MP","Malelane","FAMN","LLE","","31.5767002106","-25.4300003052"
"FAMS","medium_airport","Morningside Farm Airport",4251,"AF","ZA","ZA-NW","Silveroaks","FAMS","","","26.9090003967","-25.7045001984"
"FAMU","medium_airport","Mkuze Airport",400,"AF","ZA","ZA-NL","Mkuze","FAMU","MZQ","","32.0443000793457","-27.626100540161133"
"FANC","medium_airport","Newcastle Airport",4074,"AF","ZA","ZA-NL","Newcastle","FANC","NCS","","29.976900100699996","-27.7705993652"
"FAOH","medium_airport","Oudtshoorn Airport",1063,"AF","ZA","ZA-WC","Oudtshoorn","FAOH","OUH","FAOH","22.188999176","-33.6069984436"
"FAOR","large_airport","OR Tambo International Airport",5558,"AF","ZA","ZA-GT","Johannesburg","FAOR","JNB","","28.246","-26.1392"
"FAPE","medium_airport","Port Elizabeth Airport",226,"AF","ZA","ZA-EC","Port Elizabeth","FAPE","PLZ","","25.6173000336","-33.9849014282"
"FAPG","medium_airport","Plettenberg Bay Airport",465,"AF","ZA","ZA-WC","Plettenberg Bay","FAPG","PBZ","","23.3287234306","-34.0881601675"
"FAPH","medium_airport","Hendrik Van Eck Airport",1432,"AF","ZA","ZA-NP","Phalaborwa","FAPH","PHW","","31.1553993225","-23.937200546299998"
"FAPI","medium_airport","Pietersburg Municipal Airport",4354,"AF","ZA","ZA-NP","Polokwane","FAPI","","","29.4843997955","-23.9260997772"
"FAPJ","medium_airport","Port St Johns Airport",1227,"AF","ZA","ZA-EC","Port St Johns","FAPJ","JOH","","29.519800186157227","-31.605899810791016"
"FAPM","medium_airport","Pietermaritzburg Airport",2423,"AF","ZA","ZA-NL","Pietermaritzburg","FAPM","PZB","","30.3987007141","-29.649000167799997"
"FAPP","medium_airport","Polokwane International Airport",4076,"AF","ZA","ZA-NP","Polokwane","FAPP","PTG","","29.458615","-23.845269"
"FAPS","medium_airport","Potchefstroom Airport",4520,"AF","ZA","ZA-NW","Potchefstroom","FAPS","PCF","","27.0818996429","-26.670999527"
"FAQT","medium_airport","Queenstown Airport",3637,"AF","ZA","ZA-EC","Queenstown","FAQT","UTW","","26.882200241088867","-31.92020034790039"
"FARB","medium_airport","Richards Bay Airport",109,"AF","ZA","ZA-NL","Richards Bay","FARB","RCB","","32.0920982361","-28.740999221800003"
"FARG","medium_airport","Rustenburg Airport",3700,"AF","ZA","ZA-NW","Rustenburg","FARG","","","27.271099090599996","-25.6443004608"
"FARS","medium_airport","Robertson Airport",640,"AF","ZA","ZA-WC","Robertson","FARS","ROD","","19.902799606323242","-33.812198638916016"
"FASB","medium_airport","Springbok Airport",2690,"AF","ZA","ZA-NC","Springbok","FASB","SBU","","17.939599990844727","-29.689300537109375"
"FASC","medium_airport","Secunda Airport",5250,"AF","ZA","ZA-MP","Secunda","FASC","ZEC","","29.170099258399997","-26.52409935"
"FASD","medium_airport","Saldanha /Vredenburg Airport",50,"AF","ZA","ZA-WC","Saldanha-Vredenburg","FASD","","","17.9692993164","-32.964099884"
"FASS","medium_airport","Sishen Airport",3848,"AF","ZA","ZA-NC","Sishen","FASS","SIS","","22.9993000031","-27.6485996246"
"FASZ","medium_airport","Skukuza Airport",1020,"AF","ZA","ZA-MP","Skukuza","FASZ","SZK","","31.5886993408","-24.960899353"
"FATZ","medium_airport","Tzaneen Airport",1914,"AF","ZA","ZA-NP","Tzaneen","FATZ","LTA","","30.329299926799997","-23.8243999481"
"FAUL","medium_airport","Prince Mangosuthu Buthelezi Airport",1720,"AF","ZA","ZA-NL","Ulundi","FAUL","ULD","","31.4165000916","-28.3206005096"
"FAUP","medium_airport","Pierre Van Ryneveld Airport",2782,"AF","ZA","ZA-NC","Upington","FAUP","UTN","","21.260200500499998","-28.39909935"
"FAUT","medium_airport","K. D. Matanzima Airport",2400,"AF","ZA","ZA-EC","Mthatha","FAUT","UTT","","28.6733551025","-31.546363184900002"
"FAVB","medium_airport","Vryburg Airport",3920,"AF","ZA","ZA-NW","Vyrburg","FAVB","VRU","","24.7287998199","-26.9824008942"
"FAVG","medium_airport","Virginia Airport",20,"AF","ZA","ZA-NL","Durban","FAVG","VIR","","31.058399200439453","-29.770599365234375"
"FAVR","medium_airport","Vredendal Airport",330,"AF","ZA","ZA-WC","Vredendal","FAVR","VRE","","18.5447998046875","-31.641000747680664"
"FAVV","medium_airport","Vereeniging Airport",4846,"AF","ZA","ZA-GT","Vereeniging","FAVV","","","27.9608001709","-26.566400528"
"FAWB","medium_airport","Wonderboom Airport",4095,"AF","ZA","ZA-GT","Pretoria","FAWB","PRY","","28.224199","-25.6539"
"FAWK","medium_airport","Waterkloof Air Force Base",4940,"AF","ZA","ZA-GT","Pretoria","FAWK","WKF","","28.222499847399998","-25.829999923699997"
"FAYP","medium_airport","Ysterplaat Air Force Base",52,"AF","ZA","ZA-WC","Cape Town","FAYP","","","18.498300552368164","-33.90019989013672"
"FBFT","medium_airport","Francistown Airport",3283,"AF","BW","BW-NE","Francistown","FBFT","FRW","","27.47450065612793","-21.15959930419922"
"FBJW","medium_airport","Jwaneng Airport",3900,"AF","BW","BW-SO","","FBJW","JWA","","24.69099998474121","-24.6023006439209"
"FBKE","medium_airport","Kasane Airport",3289,"AF","BW","BW-NW","Kasane","FBKE","BBK","","25.162399291992188","-17.83289909362793"
